DistrictId,Name
1,Житомирська область
2,Севастополь
3,Львівська область
4,Закарпатська область
5,Миколаївська область
6,АР Крим
7,Харківська область
8,Вінницька область
9,Чернівецька область
10,Херсонська область
11,Рівненська область
12,Луганська область
13,Полтавська область
14,Волинська область
15,Київ
16,Донецька область
17,Івано-Франківська область
18,Дніпропетровська область
19,Кіровоградська область
20,Тернопільська область
21,Черкаська область
22,Хмельницька область
23,Одеська область
24,Чернігівська область
25,Сумська область
26,Київська область
27,Запорізька область